
==================================
>> SD Card is successfully init at 609
==================================

[INFO] main::setup() | System restarted at 669
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507300
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507300; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507300; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds

==================================
>> SD Card is successfully init at 609
==================================

[INFO] main::setup() | System restarted at 668
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507300
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507300; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507300; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507310
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507310; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507310; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507320
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507320; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507320; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507330
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507330; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507330; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507339
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507339; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507339; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507341
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507341; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507341; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507352
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507352; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507352; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507362
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507362; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507362; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507366
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507366; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507366; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507368
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507368; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507368; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507379
